Date,UsageTime
2023-04-22,00:01:04
2023-04-21,00:04:03
2023-04-21,00:01:27
2023-04-20,00:00:15
2023-04-19,00:00:00
2023-04-18,00:00:05
2023-04-17,03:02:06
2023-04-16,00:36:28
2023-04-15,02:03:02
2023-04-14,01:46:42
2023-04-13,01:56:28
2023-04-12,00:00:16
2023-04-11,00:00:00
2023-04-10,03:04:28
2023-04-09,02:57:21
2023-04-08,00:00:00
2023-04-07,03:02:40
2023-04-06,02:49:29
2023-04-05,01:47:08
2023-04-04,03:07:18
2023-04-03,02:04:55
2023-04-02,01:59:22
2023-04-01,01:56:21
2023-03-31,00:37:31
2023-03-30,00:47:52
2023-03-29,00:29:46
2023-03-28,00:00:00
2023-03-27,00:00:00
2023-03-26,02:05:55
2023-03-25,03:07:08
2023-03-24,00:00:14
2023-03-23,02:14:13
2023-03-22,00:09:11
2023-03-21,03:21:34
2023-03-20,03:23:33
2023-03-19,02:35:27
2023-03-18,03:19:31
2023-03-17,03:47:12
2023-03-16,04:45:56
2023-03-15,00:00:00
2023-03-14,02:19:50
2023-03-13,02:29:53
2023-03-12,01:55:11
2023-03-11,01:50:43
2023-03-10,00:00:00
2023-03-09,01:02:58
2023-03-08,00:00:00
2023-03-07,02:41:51
2023-03-06,02:24:02
2023-03-05,01:39:55
2023-03-04,02:32:21
2023-03-03,01:20:36
2023-03-02,00:00:00
2023-03-01,00:55:45
2023-02-28,05:00:58
2023-02-27,03:13:22
2023-02-26,03:07:16
2023-02-25,02:03:00
2023-02-24,00:00:15
2023-02-23,00:00:00
2023-02-22,03:17:48
2023-02-21,02:47:40
2023-02-20,01:52:32
2023-02-19,03:14:21
2023-02-18,00:48:32
2023-02-17,01:21:43
2023-02-16,01:43:47
2023-02-15,01:56:39
2023-02-14,00:09:27
2023-02-13,00:00:00
2023-02-12,01:31:02
2023-02-11,03:46:31
2023-02-10,01:49:00
2023-02-09,00:57:16
2023-02-08,02:58:56
2023-02-07,00:00:00
2023-02-06,00:58:27
2023-02-05,01:56:33
2023-02-04,01:16:53
2023-02-03,02:26:26
2023-02-02,03:12:26
2023-02-01,01:54:46
2023-01-31,01:46:35
2023-01-30,02:41:42
2023-01-29,01:36:01
2023-01-28,00:00:00
2023-01-27,01:40:38
2023-01-26,02:51:23
2023-01-25,03:03:15
2023-01-24,00:50:53
2023-01-23,00:00:00
2023-01-22,02:07:02
2023-01-21,02:03:14
2023-01-20,00:47:24
2023-01-19,02:26:05
2023-01-18,01:34:13
2023-01-17,00:54:56
2023-01-16,00:00:00
2023-01-15,01:51:18
2023-01-14,00:00:00
2023-01-13,00:46:46
2023-01-12,02:11:10
2023-01-11,01:48:59
2023-01-10,01:40:08
2023-01-09,01:34:19
2023-01-08,02:17:09
2023-01-07,02:03:41
2023-01-06,00:57:20
2023-01-05,01:44:27
2023-01-04,00:48:42
2023-01-03,01:46:54
2023-01-02,02:50:09
2023-01-01,00:30:57
2022-12-31,01:05:12
2022-12-30,02:31:45
2022-12-29,00:00:00
2022-12-28,00:23:31
2022-12-27,00:48:04
2022-12-26,02:08:59
2022-12-25,04:11:51
2022-12-24,01:52:36
2022-12-23,02:41:36
2022-12-22,00:41:23
2022-12-21,02:41:54
2022-12-20,00:41:19
2022-12-19,01:44:07
2022-12-18,01:11:51
2022-12-17,04:06:30
2022-12-16,01:19:17
2022-12-15,03:09:06
2022-12-14,02:48:49
2022-12-13,00:59:19
2022-12-12,02:18:54
2022-12-11,02:59:02
2022-12-10,01:28:51
2022-12-09,00:50:53
2022-12-08,02:12:28
2022-12-07,00:49:23
2022-12-06,02:54:37
2022-12-05,03:08:23
2022-12-04,06:22:47
2022-12-03,04:32:54
2022-12-02,03:54:07
2022-12-01,03:40:39
2022-11-30,02:27:34
2022-11-29,03:44:07
2022-11-28,02:23:59
2022-11-27,01:17:37
2022-11-26,01:48:01
2022-11-25,01:08:29
2022-11-24,02:52:11
2022-11-23,00:00:00
2022-11-22,01:32:27
2022-11-21,02:19:12
2022-11-20,03:00:03
2022-11-19,03:17:57
2022-11-18,00:00:00
2022-11-17,01:43:22
